,index,Unnamed: 0,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,human_ortho,Gene_Name
0,2207,ENSNFUG00015003795,87.506134317212,0.0006495261102668,0.0006667564051365,0.974158036222865,0.329978076948199,0.8443701725096,ENSG00000160712,
1,4809,ENSNFUG00015000879,6.37403931661829,-0.0010668342818219,0.0019049125468652,-0.560043705721588,0.575449626758306,0.935372083408935,ENSG00000119699,
2,7211,ENSNFUG00015013070,174.465128909825,0.0009374091855128,0.0006859676752348,1.36655008589434,0.171766371576124,0.721649446457476,ENSG00000160712,
3,8353,ENSNFUG00015011121,387.053542436019,0.0002592821866876,0.0003184707769881,0.814147499308267,0.415560457507916,0.885763546033683,ENSG00000105329,
4,8882,ENSNFUG00015003470,82.0045578107984,-0.0009514985733376,0.0011063689759372,-0.860019210617905,0.389778452997425,0.876468530900404,ENSG00000115604,
5,11395,ENSNFUG00015015354,10.495330576398,-0.001133288660913,0.0022335928940099,-0.507383715247453,0.611885609689523,0.944993902813144,ENSG00000232810,
6,13096,ENSNFUG00015020266,4.03307928281722,-0.0001927316196424,0.0024111944941884,-0.0799320088474682,0.936291331890296,0.993630142759101,ENSG00000136634,
7,16839,ENSNFUG00015009023,29.4761190160937,-0.0005565447812833,0.0015424544766791,-0.36081763818504,0.718235776435475,0.963938693144771,ENSG00000115590,
8,18900,ENSNFUG00015012658,57.4789440446466,-0.0001635571459664,0.0006270000687743,-0.260856663518637,0.79420304551858,0.974973313245299,ENSG00000119699,
9,20431,ENSNFUG00015009884,212.049664229673,0.000176382901146,0.0007845994077298,0.224806314417703,0.822129953611977,0.978039216537624,ENSG00000160712,
10,20507,ENSNFUG00015012860,357.980645435403,0.0007427769725708,0.0005418754039454,1.37075233007927,0.170452175752469,0.720220102018876,ENSG00000160712,
11,21314,ENSNFUG00015015040,298.963018668563,0.0004512396857108,0.0003983542027128,1.13275994739819,0.257315075477034,0.800495355398399,ENSG00000163513,
12,22518,ENSNFUG00015018588,3.54374500269721,-0.000514349527651,0.0023299849045173,-0.220752300434995,0.825285306006618,0.978330066256037,ENSG00000232810,
13,23080,ENSNFUG00015019724,3.06749010871486,-0.0037771531189239,0.0029621406993793,-1.27514304763286,0.202258615113014,0.753837514866898,ENSG00000172458,
14,23089,ENSNFUG00015022267,209.432529966608,0.0004374989663955,0.0004011640606229,1.09057368129173,0.275460515583377,0.814740746719202,ENSG00000160712,
15,23108,ENSNFUG00015014619,2.27623537488683,-0.0032841432864531,0.0035751338255838,-0.91860709183854,0.358301121225623,0.858101849557514,ENSG00000111537,
16,23442,ENSNFUG00015017701,153.590373547669,0.0009093782625621,0.0004812573034406,1.88958849260225,0.0588130173838574,0.516337628222331,ENSG00000163513,
17,23803,ENSNFUG00015014192,25.1489118694334,-0.0010778803425064,0.0010748924618336,-1.00277970195055,0.315967164516251,0.836948170307797,ENSG00000095752,
18,25284,ENSNFUG00015016162,288.109983943729,0.0009093851779507,0.0003520091477266,2.5834134817912,0.0097828000233935,0.238349694081333,ENSG00000160712,
